timestamp,temperature,humidity,water_level,N,P,K,Fan_actuator_OFF,Fan_actuator_ON,Watering_plant_pump_OFF,Watering_plant_pump_ON,Water_pump_actuator_OFF,Water_pump_actuator_ON
2024-01-01 15:46:00,13,70,100,178,186,157,1,0,1,0,1,0
2024-01-01 15:51:00,13,67,95,178,186,157,1,0,1,0,1,0
2024-01-01 15:56:00,13,70,93,178,186,157,1,0,1,0,1,0
2024-01-01 16:01:00,13,69,83,178,186,157,1,0,1,0,1,0
2024-01-01 16:05:00,13,70,5,178,186,157,1,0,1,0,0,1
2024-01-01 16:06:00,13,70,87,178,186,157,1,0,1,0,1,0
2024-01-01 16:11:00,13,69,78,178,186,157,1,0,1,0,1,0
2024-01-01 16:16:00,13,70,90,178,186,157,1,0,1,0,1,0
2024-01-01 16:21:00,13,68,75,178,186,157,1,0,1,0,1,0
2024-01-01 16:26:00,13,67,81,178,186,157,1,0,1,0,1,0
2024-01-01 16:31:00,13,67,98,178,186,157,1,0,1,0,1,0
2024-01-01 16:36:00,13,66,75,178,186,157,1,0,1,0,1,0
2024-01-01 16:41:00,12,69,96,178,186,157,1,0,1,0,1,0
2024-01-01 16:46:00,12,69,84,178,186,157,1,0,1,0,1,0
2024-01-01 16:51:00,12,69,90,178,186,157,1,0,1,0,1,0
2024-01-01 16:56:00,12,68,87,178,186,157,1,0,1,0,1,0
2024-01-01 17:01:00,12,75,77,178,186,157,1,0,1,0,1,0
2024-01-01 17:06:00,12,68,83,178,186,157,1,0,1,0,1,0
2024-01-01 17:11:00,12,67,81,178,186,157,1,0,1,0,1,0
2024-01-01 17:16:00,11,70,82,178,186,157,1,0,1,0,1,0
2024-01-01 17:21:00,11,66,96,178,186,157,1,0,1,0,1,0
2024-01-01 17:26:00,11,69,75,178,186,157,1,0,1,0,1,0
2024-01-01 17:31:00,11,71,74,178,186,157,1,0,1,0,1,0
2024-01-01 17:36:00,11,69,85,178,186,157,1,0,1,0,1,0
2024-01-01 17:41:00,11,68,71,178,186,157,1,0,1,0,1,0
2024-01-01 17:46:00,11,66,85,178,186,157,1,0,1,0,1,0
2024-01-01 17:51:00,11,67,78,178,186,157,1,0,1,0,1,0
2024-01-01 17:56:00,11,68,61,178,186,157,1,0,1,0,0,1
2024-01-01 18:01:00,11,69,71,178,186,157,1,0,1,0,1,0
2024-01-01 18:06:00,11,68,70,178,186,157,1,0,1,0,1,0
2024-01-01 18:11:00,11,67,81,178,186,157,1,0,1,0,1,0
2024-01-01 18:16:00,11,65,64,178,186,157,1,0,1,0,0,1
2024-01-01 18:21:00,11,67,50,178,186,157,1,0,1,0,0,1
2024-01-01 18:26:00,11,69,86,178,186,157,1,0,1,0,1,0
2024-01-01 18:31:00,11,69,84,178,186,157,1,0,1,0,1,0
2024-01-01 18:36:00,11,66,72,178,186,157,1,0,1,0,1,0
2024-01-01 18:41:00,11,70,76,178,186,157,1,0,1,0,1,0
2024-01-01 18:44:00,11,66,3,178,186,157,1,0,1,0,0,1
2024-01-01 18:46:00,11,66,67,178,186,157,1,0,1,0,0,1
2024-01-01 18:51:00,11,66,75,178,186,157,1,0,1,0,1,0
2024-01-01 18:56:00,11,68,80,178,186,157,1,0,1,0,1,0
2024-01-01 19:01:00,11,64,75,178,186,157,1,0,1,0,1,0
2024-01-01 19:05:00,11,67,8,178,186,157,1,0,1,0,0,1
2024-01-01 19:06:00,10,70,81,178,186,157,1,0,1,0,1,0
2024-01-01 19:11:00,10,66,71,178,186,157,1,0,1,0,1,0
2024-01-01 19:16:00,10,66,83,178,186,157,1,0,1,0,1,0
2024-01-01 19:21:00,10,69,63,178,186,157,1,0,1,0,0,1
2024-01-01 19:26:00,10,69,75,178,186,157,1,0,1,0,1,0
2024-01-01 19:31:00,10,66,94,178,186,157,1,0,1,0,1,0
2024-01-01 19:36:00,10,68,88,178,186,157,1,0,1,0,1,0
2024-01-01 19:41:00,11,69,75,178,186,157,1,0,1,0,1,0
2024-01-01 19:46:00,11,68,85,178,186,157,1,0,1,0,1,0
2024-01-01 19:51:00,11,69,88,178,186,157,1,0,1,0,1,0
2024-01-01 19:56:00,11,69,88,178,186,157,1,0,1,0,1,0
2024-01-01 20:01:00,11,68,72,178,186,157,1,0,1,0,1,0
2024-01-01 20:04:00,11,66,6,178,186,157,1,0,1,0,0,1
2024-01-01 20:06:00,11,69,81,178,186,157,1,0,1,0,1,0
2024-01-01 20:11:00,11,66,93,178,186,157,1,0,1,0,1,0
2024-01-01 20:16:00,10,69,85,178,186,157,1,0,1,0,1,0
2024-01-01 20:21:00,11,68,78,178,186,157,1,0,1,0,1,0
2024-01-01 20:26:00,11,70,97,178,186,157,1,0,1,0,1,0
2024-01-01 20:31:00,11,68,88,178,186,157,1,0,1,0,1,0
2024-01-01 20:31:00,11,64,5,178,186,157,1,0,1,0,0,1
2024-01-01 20:36:00,11,69,69,178,186,157,1,0,1,0,0,1
2024-01-01 20:41:00,11,66,91,178,186,157,1,0,1,0,1,0
2024-01-01 20:46:00,11,69,95,178,186,157,1,0,1,0,1,0
2024-01-01 20:51:00,11,66,80,178,186,157,1,0,1,0,1,0
2024-01-01 20:56:00,11,68,79,178,186,157,1,0,1,0,1,0
2024-01-01 21:01:00,11,68,86,178,186,157,1,0,1,0,1,0
2024-01-01 21:06:00,11,69,88,178,186,157,1,0,1,0,1,0
2024-01-01 21:11:00,10,68,86,178,186,157,1,0,1,0,1,0
2024-01-01 21:16:00,10,67,76,178,186,157,1,0,1,0,1,0
2024-01-01 21:21:00,10,66,74,178,186,157,1,0,1,0,1,0
2024-01-01 21:26:00,10,67,82,178,186,157,1,0,1,0,1,0
2024-01-01 21:31:00,10,68,77,178,186,157,1,0,1,0,1,0
2024-01-01 21:34:00,10,69,6,178,186,157,1,0,1,0,0,1
2024-01-01 21:36:00,10,65,69,178,186,157,1,0,1,0,0,1
2024-01-01 21:41:00,10,67,73,178,186,157,1,0,1,0,1,0
2024-01-01 21:46:00,10,66,78,178,186,157,1,0,1,0,1,0
2024-01-01 21:51:00,10,70,84,178,186,157,1,0,1,0,1,0
2024-01-01 21:56:00,10,67,76,178,186,157,1,0,1,0,1,0
2024-01-01 22:01:00,10,66,94,178,186,157,1,0,1,0,1,0
2024-01-01 22:06:00,10,66,99,178,186,157,1,0,1,0,1,0
2024-01-01 22:11:00,11,67,100,178,186,157,1,0,1,0,1,0
2024-01-01 22:16:00,11,66,93,178,186,157,1,0,1,0,1,0
2024-01-01 22:21:00,10,67,86,178,186,157,1,0,1,0,1,0
2024-01-01 22:26:00,10,67,75,178,186,157,1,0,1,0,1,0
2024-01-01 22:31:00,10,67,91,178,186,157,1,0,1,0,1,0
2024-01-01 22:36:00,11,67,86,178,186,157,1,0,1,0,1,0
2024-01-01 22:41:00,11,67,94,178,186,157,1,0,1,0,1,0
2024-01-01 22:46:00,11,69,89,178,186,157,1,0,1,0,1,0
2024-01-01 22:51:00,11,68,78,178,186,157,1,0,1,0,1,0
2024-01-01 22:56:00,11,69,91,178,186,157,1,0,1,0,1,0
2024-01-01 23:01:00,12,67,87,178,186,157,1,0,1,0,1,0
2024-01-01 23:06:00,12,68,92,178,186,157,1,0,1,0,1,0
2024-01-01 23:11:00,12,67,98,178,186,157,1,0,1,0,1,0
2024-01-01 23:16:00,12,67,82,178,186,157,1,0,1,0,1,0
2024-01-01 23:21:00,13,69,78,178,186,157,1,0,1,0,1,0
2024-01-01 23:26:00,13,68,100,178,186,157,1,0,1,0,1,0
2024-01-01 23:31:00,14,69,78,178,186,157,1,0,1,0,1,0
2024-01-01 23:36:00,14,69,73,178,186,157,1,0,1,0,1,0
2024-01-01 23:41:00,15,68,74,178,186,157,1,0,1,0,1,0
2024-01-01 23:46:00,16,68,76,178,186,157,1,0,1,0,1,0
